Day,Bar,H,M,S
12,1,19,23,3
12,1,20,8,53
12,1,20,9,43
12,1,20,10,33
12,1,20,11,23
12,1,20,12,13
12,1,20,13,3
12,1,21,0,33
12,1,21,1,23
12,1,21,2,13
12,1,21,3,3
12,1,19,57,51
12,1,19,58,41
12,1,19,59,31
12,1,20,47,51
12,1,20,48,41
12,1,20,49,31
12,1,20,50,21
12,1,20,51,11
12,1,20,52,1
12,1,21,37,51
12,1,21,38,41
12,1,21,39,31
12,1,21,40,21
12,1,21,41,11
12,1,21,42,1
12,1,22,27,51
12,1,22,28,41
12,1,22,29,31
12,1,22,30,21
12,1,22,31,11
12,1,22,32,1
12,1,23,17,51
12,1,23,18,41
12,1,23,19,31
12,1,23,20,21
12,1,23,21,11
12,1,23,22,1
12,1,23,55,59
12,1,23,56,49
12,1,23,57,39
12,1,23,58,29
12,1,23,59,19
12,2,0,12,53
12,2,0,13,43
12,2,0,14,33
12,2,0,15,23
12,2,0,16,13
12,2,0,17,3
12,2,1,2,53
12,2,1,3,43
12,2,1,4,33
12,2,1,5,23
12,2,1,6,13
12,2,1,7,3
12,2,0,51,51
12,2,0,52,41
12,2,0,53,31
12,2,0,54,21
12,2,0,55,11
12,2,0,56,1
12,2,1,41,51
12,2,1,42,41
12,2,1,43,31
12,2,1,44,21
12,2,1,45,11
12,2,1,46,1
12,2,2,31,51
12,2,2,32,41
12,2,2,33,31
12,2,2,34,21
12,2,2,35,11
12,2,2,36,1
12,2,3,21,51
12,2,3,22,41
12,2,3,23,31
12,2,3,24,21
12,2,3,25,11
12,2,3,26,1
12,2,4,11,51
12,2,4,12,41
12,2,4,13,31
12,2,4,14,21
12,2,4,15,11
12,2,4,16,1
12,2,5,1,51
12,2,5,2,41
12,2,5,3,31
12,2,5,4,21
12,2,5,5,11
12,2,5,6,1
12,2,3,59,59
12,2,4,49,59
12,2,4,50,49
12,2,4,51,39
12,2,4,52,29
12,2,4,53,19
12,2,4,54,9
12,2,5,39,59
12,2,5,40,49
12,2,5,41,39
12,2,5,42,29
12,2,5,43,19
12,2,5,44,9
12,2,6,29,59
12,2,6,30,49
12,2,6,31,39
12,2,6,32,29
12,2,6,33,19
12,2,6,34,9
12,2,7,19,59
12,2,7,20,49
12,2,7,21,39
12,2,7,22,29
12,2,7,23,19
12,2,7,24,9
12,2,8,9,59
12,2,8,10,49
12,2,8,11,39
12,2,8,12,29
12,2,8,13,19
12,2,8,14,9
12,2,9,0,49
12,2,9,1,39
12,2,9,2,29
12,2,9,3,19
12,2,9,4,9
12,2,6,50,53
12,2,6,51,43
12,2,6,52,33
12,2,6,53,23
12,2,6,54,13
12,2,6,55,3
12,2,7,40,53
12,2,7,41,43
12,2,7,42,33
12,2,7,43,23
12,2,7,44,13
12,2,7,45,3
12,2,8,30,53
12,2,8,31,43
12,2,8,32,33
12,2,8,33,23
12,2,8,34,13
12,2,8,35,3
12,2,9,20,53
12,2,9,21,43
12,2,9,22,33
12,2,9,23,23
12,2,9,24,13
12,2,9,25,3
12,2,10,10,53
12,2,10,11,43
12,2,10,12,33
12,2,10,13,23
12,2,10,14,13
12,2,10,15,3
12,2,11,0,53
12,2,11,1,43
12,2,11,2,33
12,2,11,3,23
12,2,11,4,13
12,2,11,5,3
12,2,9,59,51
12,2,10,49,51
12,2,10,50,41
12,2,10,51,31
12,2,10,52,21
12,2,10,53,11
12,2,10,54,1
12,2,11,39,51
12,2,11,40,41
12,2,11,41,31
12,2,11,42,21
12,2,11,43,11
12,2,11,44,1
12,2,12,29,51
12,2,12,30,41
12,2,12,31,31
12,2,12,32,21
12,2,12,33,11
12,2,12,34,1
12,2,13,19,51
12,2,13,20,41
12,2,13,21,31
12,2,13,22,21
12,2,13,23,11
12,2,13,24,1
12,2,14,9,51
12,2,14,10,41
12,2,14,11,31
12,2,14,12,21
12,2,14,13,11
12,2,14,14,1
12,2,15,0,41
12,2,15,1,31
12,2,15,2,21
12,2,15,3,11
12,2,15,4,1
12,2,13,57,59
12,2,13,58,49
12,2,13,59,39
12,2,14,47,59
12,2,14,48,49
12,2,14,49,39
12,2,14,50,29
12,2,14,51,19
12,2,14,52,9
12,2,14,53,0
12,2,15,37,59
12,2,15,38,49
12,2,15,39,39
12,2,15,40,29
12,2,15,41,19
12,2,15,42,9
12,2,15,43,0
12,2,16,27,59
12,2,16,28,49
12,2,16,29,39
12,2,16,30,29
12,2,16,31,19
12,2,16,32,9
12,2,16,33,0
12,2,17,17,59
12,2,17,18,49
12,2,17,19,39
12,2,17,20,29
12,2,17,21,19
12,2,17,22,9
12,2,17,23,0
12,2,18,7,59
12,2,18,8,49
12,2,18,9,39
12,2,18,10,29
12,2,18,11,19
12,2,18,12,9
12,2,18,13,0
12,2,19,0,29
12,2,19,1,19
12,2,19,2,9
12,2,19,3,0
12,2,15,58,53
12,2,15,59,43
12,2,16,48,53
12,2,16,49,43
12,2,16,50,33
12,2,16,51,23
12,2,16,52,13
12,2,16,53,3
12,2,17,38,53
12,2,17,39,43
12,2,17,40,33
12,2,17,41,23
12,2,17,42,13
12,2,17,43,3
12,2,18,28,53
12,2,18,29,43
12,2,18,30,33
12,2,18,31,23
12,2,18,32,13
12,2,18,33,3
12,2,19,18,53
12,2,19,19,43
12,2,19,20,33
12,2,19,21,23
12,2,19,22,13
12,2,19,23,3
12,2,20,8,53
12,2,20,9,43
12,2,20,10,33
12,2,20,11,23
12,2,20,12,13
12,2,20,13,3
12,2,21,0,33
12,2,21,1,23
12,2,21,2,13
12,2,21,3,3
12,2,19,57,51
12,2,19,58,41
12,2,19,59,31
12,2,20,47,51
12,2,20,48,41
12,2,20,49,31
12,2,20,50,21
12,2,20,51,11
12,2,20,52,1
12,2,21,37,51
12,2,21,38,41
12,2,21,39,31
12,2,21,40,21
12,2,21,41,11
12,2,21,42,1
12,2,22,27,51
12,2,22,28,41
12,2,22,29,31
12,2,22,30,21
12,2,22,31,11
12,2,22,32,1
12,2,23,17,51
12,2,23,18,41
12,2,23,19,31
12,2,23,20,21
12,2,23,21,11
12,2,23,22,1
12,2,23,55,59
12,2,23,56,49
12,2,23,57,39
12,2,23,58,29
12,2,23,59,19
12,3,0,12,53
12,3,0,13,43
12,3,0,14,33
12,3,0,15,23
12,3,0,16,13
12,3,0,17,3
12,3,1,2,53
12,3,1,3,43
12,3,1,4,33
12,3,1,5,23
12,3,1,6,13
12,3,1,7,3
12,3,0,51,51
12,3,0,52,41
12,3,0,53,31
12,3,0,54,21
12,3,0,55,11
12,3,0,56,1
12,3,1,41,51
12,3,1,42,41
12,3,1,43,31
12,3,1,44,21
12,3,1,45,11
12,3,1,46,1
12,3,2,31,51
12,3,2,32,41
12,3,2,33,31
12,3,2,34,21
12,3,2,35,11
12,3,2,36,1
12,3,3,21,51
12,3,3,22,41
12,3,3,23,31
12,3,3,24,21
12,3,3,25,11
12,3,3,26,1
12,3,4,11,51
12,3,4,12,41
12,3,4,13,31
12,3,4,14,21
12,3,4,15,11
12,3,4,16,1
12,3,5,1,51
12,3,5,2,41
12,3,5,3,31
12,3,5,4,21
12,3,5,5,11
12,3,5,6,1
12,3,3,59,59
12,3,4,49,59
12,3,4,50,49
12,3,4,51,39
12,3,4,52,29
12,3,4,53,19
12,3,4,54,9
12,3,5,39,59
12,3,5,40,49
12,3,5,41,39
12,3,5,42,29
12,3,5,43,19
12,3,5,44,9
12,3,6,29,59
12,3,6,30,49
12,3,6,31,39
12,3,6,32,29
12,3,6,33,19
12,3,6,34,9
12,3,7,19,59
12,3,7,20,49
12,3,7,21,39
12,3,7,22,29
12,3,7,23,19
12,3,7,24,9
12,3,8,9,59
12,3,8,10,49
12,3,8,11,39
12,3,8,12,29
12,3,8,13,19
12,3,8,14,9
12,3,9,0,49
12,3,9,1,39
12,3,9,2,29
12,3,9,3,19
12,3,9,4,9
12,3,6,50,53
12,3,6,51,43
12,3,6,52,33
12,3,6,53,23
12,3,6,54,13
12,3,6,55,3
12,3,7,40,53
12,3,7,41,43
12,3,7,42,33
12,3,7,43,23
12,3,7,44,13
12,3,7,45,3
12,3,8,30,53
12,3,8,31,43
12,3,8,32,33
12,3,8,33,23
12,3,8,34,13
12,3,8,35,3
12,3,9,20,53
12,3,9,21,43
12,3,9,22,33
12,3,9,23,23
12,3,9,24,13
12,3,9,25,3
12,3,10,10,53
12,3,10,11,43
12,3,10,12,33
12,3,10,13,23
12,3,10,14,13
12,3,10,15,3
12,3,11,0,53
12,3,11,1,43
12,3,11,2,33
12,3,11,3,23
12,3,11,4,13
12,3,11,5,3
12,3,9,59,51
12,3,10,49,51
12,3,10,50,41
12,3,10,51,31
12,3,10,52,21
12,3,10,53,11
12,3,10,54,1
12,3,11,39,51
12,3,11,40,41
12,3,11,41,31
12,3,11,42,21
12,3,11,43,11
12,3,11,44,1
12,3,12,29,51
12,3,12,30,41
12,3,12,31,31
12,3,12,32,21
12,3,12,33,11
12,3,12,34,1
12,3,13,19,51
12,3,13,20,41
12,3,13,21,31
12,3,13,22,21
12,3,13,23,11
12,3,13,24,1
12,3,14,9,51
12,3,14,10,41
12,3,14,11,31
12,3,14,12,21
12,3,14,13,11
12,3,14,14,1
12,3,15,0,41
12,3,15,1,31
12,3,15,2,21
12,3,15,3,11
12,3,15,4,1
12,3,13,57,59
12,3,13,58,49
12,3,13,59,39
12,3,14,47,59
12,3,14,48,49
12,3,14,49,39
12,3,14,50,29
12,3,14,51,19
12,3,14,52,9
12,3,14,53,0
12,3,15,37,59
12,3,15,38,49
12,3,15,39,39
12,3,15,40,29
12,3,15,41,19
12,3,15,42,9
12,3,15,43,0
12,3,16,27,59
12,3,16,28,49
12,3,16,29,39
12,3,16,30,29
12,3,16,31,19
12,3,16,32,9
12,3,16,33,0
12,3,17,17,59
12,3,17,18,49
12,3,17,19,39
12,3,17,20,29
12,3,17,21,19
12,3,17,22,9
12,3,17,23,0
12,3,18,7,59
12,3,18,8,49
12,3,18,9,39
12,3,18,10,29
12,3,18,11,19
12,3,18,12,9
12,3,18,13,0
12,3,19,0,29
12,3,19,1,19
12,3,19,2,9
12,3,19,3,0
12,3,15,58,53
12,3,15,59,43
12,3,16,48,53
12,3,16,49,43
12,3,16,50,33
12,3,16,51,23
12,3,16,52,13
12,3,16,53,3
12,3,17,38,53
12,3,17,39,43
12,3,17,40,33
12,3,17,41,23
12,3,17,42,13
12,3,17,43,3
12,3,18,28,53
12,3,18,29,43
12,3,18,30,33
12,3,18,31,23
12,3,18,32,13
12,3,18,33,3
12,3,19,18,53
12,3,19,19,43
12,3,19,20,33
12,3,19,21,23
12,3,19,22,13
12,3,19,23,3
12,3,20,8,53
12,3,20,9,43
12,3,20,10,33
12,3,20,11,23
12,3,20,12,13
12,3,20,13,3
12,3,21,0,33
12,3,21,1,23
12,3,21,2,13
12,3,21,3,3
12,3,19,57,51
12,3,19,58,41
12,3,19,59,31
12,3,20,47,51
12,3,20,48,41
12,3,20,49,31
12,3,20,50,21
12,3,20,51,11
12,3,20,52,1
12,3,21,37,51
12,3,21,38,41
12,3,21,39,31
12,3,21,40,21
12,3,21,41,11
12,3,21,42,1
12,3,22,27,51
12,3,22,28,41
12,3,22,29,31
12,3,22,30,21
12,3,22,31,11
12,3,22,32,1
12,3,23,17,51
12,3,23,18,41
12,3,23,19,31
12,3,23,20,21
12,3,23,21,11
12,3,23,22,1
12,3,23,55,59
12,3,23,56,49
12,3,23,57,39
12,3,23,58,29
12,3,23,59,19
12,4,0,12,53
12,4,0,13,43
12,4,0,14,33
12,4,0,15,23
12,4,0,16,13
12,4,0,17,3
12,4,1,2,53
12,4,1,3,43
12,4,1,4,33
12,4,1,5,23
12,4,1,6,13
12,4,1,7,3
12,4,0,51,51
12,4,0,52,41
12,4,0,53,31
12,4,0,54,21
12,4,0,55,11
12,4,0,56,1
12,4,1,41,51
12,4,1,42,41
12,4,1,43,31
12,4,1,44,21
12,4,1,45,11
12,4,1,46,1
12,4,2,31,51
12,4,2,32,41
12,4,2,33,31
12,4,2,34,21
12,4,2,35,11
12,4,2,36,1
12,4,3,21,51
12,4,3,22,41
12,4,3,23,31
12,4,3,24,21
12,4,3,25,11
12,4,3,26,1
12,4,4,11,51
12,4,4,12,41
12,4,4,13,31
12,4,4,14,21
12,4,4,15,11
12,4,4,16,1
12,4,5,1,51
12,4,5,2,41
12,4,5,3,31
12,4,5,4,21
12,4,5,5,11
12,4,5,6,1
12,4,3,59,59
12,4,4,49,59
12,4,4,50,49
12,4,4,51,39
12,4,4,52,29
12,4,4,53,19
12,4,4,54,9
12,4,5,39,59
12,4,5,40,49
12,4,5,41,39
12,4,5,42,29
12,4,5,43,19
12,4,5,44,9
12,4,6,29,59
12,4,6,30,49
12,4,6,31,39
12,4,6,32,29
12,4,6,33,19
12,4,6,34,9
12,4,7,19,59
12,4,7,20,49
12,4,7,21,39
12,4,7,22,29
12,4,7,23,19
12,4,7,24,9
12,4,8,9,59
12,4,8,10,49
12,4,8,11,39
12,4,8,12,29
12,4,8,13,19
12,4,8,14,9
12,4,9,0,49
12,4,9,1,39
12,4,9,2,29
12,4,9,3,19
12,4,9,4,9
12,4,6,50,53
12,4,6,51,43
12,4,6,52,33
12,4,6,53,23
12,4,6,54,13
12,4,6,55,3
12,4,7,40,53
12,4,7,41,43
12,4,7,42,33
12,4,7,43,23
12,4,7,44,13
12,4,7,45,3
12,4,8,30,53
12,4,8,31,43
12,4,8,32,33
12,4,8,33,23
12,4,8,34,13
12,4,8,35,3
12,4,9,20,53
12,4,9,21,43
12,4,9,22,33
12,4,9,23,23
12,4,9,24,13
12,4,9,25,3
12,4,10,10,53
12,4,10,11,43
12,4,10,12,33
12,4,10,13,23
12,4,10,14,13
12,4,10,15,3
12,4,11,0,53
12,4,11,1,43
12,4,11,2,33
12,4,11,3,23
12,4,11,4,13
12,4,11,5,3
12,4,9,59,51
12,4,10,49,51
12,4,10,50,41
12,4,10,51,31
12,4,10,52,21
12,4,10,53,11
12,4,10,54,1
12,4,11,39,51
12,4,11,40,41
12,4,11,41,31
12,4,11,42,21
12,4,11,43,11
12,4,11,44,1
12,4,12,29,51
12,4,12,30,41
12,4,12,31,31
12,4,12,32,21
12,4,12,33,11
12,4,12,34,1
12,4,13,19,51
12,4,13,20,41
12,4,13,21,31
12,4,13,22,21
12,4,13,23,11
12,4,13,24,1
12,4,14,9,51
12,4,14,10,41
12,4,14,11,31
12,4,14,12,21
12,4,14,13,11
12,4,14,14,1
12,4,15,0,41
12,4,15,1,31
12,4,15,2,21
12,4,15,3,11
12,4,15,4,1
12,4,13,57,59
12,4,13,58,49
12,4,13,59,39
12,4,14,47,59
12,4,14,48,49
12,4,14,49,39
12,4,14,50,29
12,4,14,51,19
12,4,14,52,9
12,4,14,53,0
12,4,15,37,59
12,4,15,38,49
12,4,15,39,39
12,4,15,40,29
12,4,15,41,19
12,4,15,42,9
12,4,15,43,0
12,4,16,27,59
12,4,16,28,49
12,4,16,29,39
12,4,16,30,29
12,4,16,31,19
12,4,16,32,9
12,4,16,33,0
12,4,17,17,59
12,4,17,18,49
12,4,17,19,39
12,4,17,20,29
12,4,17,21,19
12,4,17,22,9
12,4,17,23,0
12,4,18,7,59
12,4,18,8,49
12,4,18,9,39
12,4,18,10,29
12,4,18,11,19
12,4,18,12,9
12,4,18,13,0
12,4,19,0,29
12,4,19,1,19
12,4,19,2,9
12,4,19,3,0
12,4,15,58,53
12,4,15,59,43
12,4,16,48,53
12,4,16,49,43
12,4,16,50,33
12,4,16,51,23
12,4,16,52,13
12,4,16,53,3
12,4,17,38,53
12,4,17,39,43
12,4,17,40,33
12,4,17,41,23
12,4,17,42,13
12,4,17,43,3
12,4,18,28,53
12,4,18,29,43
12,4,18,30,33
12,4,18,31,23
12,4,18,32,13
12,4,18,33,3
12,4,19,18,53
12,4,19,19,43
12,4,19,20,33
12,4,19,21,23
12,4,19,22,13
12,4,19,23,3
12,4,20,8,53
12,4,20,9,43
12,4,20,10,33
12,4,20,11,23
12,4,20,12,13
12,4,20,13,3
12,4,21,0,33
12,4,21,1,23
12,4,21,2,13
12,4,21,3,3
12,4,19,57,51
12,4,19,58,41
12,4,19,59,31
12,4,20,47,51
12,4,20,48,41
12,4,20,49,31
12,4,20,50,21
12,4,20,51,11
12,4,20,52,1
12,4,21,37,51
12,4,21,38,41
12,4,21,39,31
12,4,21,40,21
12,4,21,41,11
12,4,21,42,1
12,4,22,27,51
12,4,22,28,41
12,4,22,29,31
12,4,22,30,21
12,4,22,31,11
12,4,22,32,1
12,4,23,17,51
12,4,23,18,41
12,4,23,19,31
12,4,23,20,21
12,4,23,21,11
12,4,23,22,1
12,4,23,55,59
12,4,23,56,49
12,4,23,57,39
12,4,23,58,29
12,4,23,59,19
12,5,0,12,53
12,5,0,13,43
12,5,0,14,33
12,5,0,15,23
12,5,0,16,13
12,5,0,17,3
12,5,1,2,53
12,5,1,3,43
12,5,1,4,33
12,5,1,5,23
12,5,1,6,13
12,5,1,7,3
12,5,0,51,51
12,5,0,52,41
12,5,0,53,31
12,5,0,54,21
12,5,0,55,11
12,5,0,56,1
12,5,1,41,51
12,5,1,42,41
12,5,1,43,31
12,5,1,44,21
12,5,1,45,11
12,5,1,46,1
12,5,2,31,51
12,5,2,32,41
12,5,2,33,31
12,5,2,34,21
12,5,2,35,11
12,5,2,36,1
12,5,3,21,51
12,5,3,22,41
12,5,3,23,31
12,5,3,24,21
12,5,3,25,11
12,5,3,26,1
12,5,4,11,51
12,5,4,12,41
12,5,4,13,31
12,5,4,14,21
12,5,4,15,11
12,5,4,16,1
12,5,5,1,51
12,5,5,2,41
12,5,5,3,31
12,5,5,4,21
12,5,5,5,11
12,5,5,6,1
12,5,3,59,59
12,5,4,49,59
12,5,4,50,49
12,5,4,51,39
12,5,4,52,29
12,5,4,53,19
12,5,4,54,9
12,5,5,39,59
12,5,5,40,49
12,5,5,41,39
12,5,5,42,29
12,5,5,43,19
12,5,5,44,9
12,5,6,29,59
12,5,6,30,49
12,5,6,31,39
12,5,6,32,29
12,5,6,33,19
12,5,6,34,9
12,5,7,19,59
12,5,7,20,49
12,5,7,21,39
12,5,7,22,29
12,5,7,23,19
12,5,7,24,9
12,5,8,9,59
12,5,8,10,49
12,5,8,11,39
12,5,8,12,29
12,5,8,13,19
12,5,8,14,9
12,5,9,0,49
12,5,9,1,39
12,5,9,2,29
12,5,9,3,19
12,5,9,4,9
12,5,6,50,53
12,5,6,51,43
12,5,6,52,33
12,5,6,53,23
12,5,6,54,13
12,5,6,55,3
12,5,7,40,53
12,5,7,41,43
12,5,7,42,33
12,5,7,43,23
12,5,7,44,13
12,5,7,45,3
12,5,8,30,53
12,5,8,31,43
12,5,8,32,33
12,5,8,33,23
12,5,8,34,13
12,5,8,35,3
12,5,9,20,53
12,5,9,21,43
12,5,9,22,33
12,5,9,23,23
12,5,9,24,13
12,5,9,25,3
12,5,10,10,53
12,5,10,11,43
12,5,10,12,33
12,5,10,13,23
12,5,10,14,13
12,5,10,15,3
12,5,11,0,53
12,5,11,1,43
12,5,11,2,33
12,5,11,3,23
12,5,11,4,13
12,5,11,5,3
12,5,9,59,51
12,5,10,49,51
12,5,10,50,41
12,5,10,51,31
12,5,10,52,21
12,5,10,53,11
12,5,10,54,1
12,5,11,39,51
12,5,11,40,41
12,5,11,41,31
12,5,11,42,21
12,5,11,43,11
12,5,11,44,1
12,5,12,29,51
12,5,12,30,41
12,5,12,31,31
12,5,12,32,21
12,5,12,33,11
12,5,12,34,1
12,5,13,19,51
12,5,13,20,41
12,5,13,21,31
12,5,13,22,21
12,5,13,23,11
12,5,13,24,1
12,5,14,9,51
12,5,14,10,41
12,5,14,11,31
12,5,14,12,21
12,5,14,13,11
12,5,14,14,1
12,5,15,0,41
12,5,15,1,31
12,5,15,2,21
12,5,15,3,11
12,5,15,4,1
12,5,13,57,59
12,5,13,58,49
12,5,13,59,39
12,5,14,47,59
12,5,14,48,49
12,5,14,49,39
12,5,14,50,29
12,5,14,51,19
12,5,14,52,9
12,5,14,53,0
12,5,15,37,59
12,5,15,38,49
12,5,15,39,39
12,5,15,40,29
12,5,15,41,19
12,5,15,42,9
12,5,15,43,0
12,5,16,27,59
12,5,16,28,49
12,5,16,29,39
12,5,16,30,29
12,5,16,31,19
12,5,16,32,9
12,5,16,33,0
12,5,17,17,59
12,5,17,18,49
12,5,17,19,39
12,5,17,20,29
12,5,17,21,19
12,5,17,22,9
12,5,17,23,0
12,5,18,7,59
12,5,18,8,49
12,5,18,9,39
12,5,18,10,29
12,5,18,11,19
12,5,18,12,9
12,5,18,13,0
12,5,19,0,29
12,5,19,1,19
12,5,19,2,9
12,5,19,3,0
12,5,15,58,53
12,5,15,59,43
12,5,16,48,53
12,5,16,49,43
12,5,16,50,33
12,5,16,51,23
12,5,16,52,13
12,5,16,53,3
12,5,17,38,53
12,5,17,39,43
12,5,17,40,33
12,5,17,41,23
12,5,17,42,13
12,5,17,43,3
12,5,18,28,53
12,5,18,29,43
12,5,18,30,33
12,5,18,31,23
12,5,18,32,13
12,5,18,33,3
12,5,19,18,53
12,5,19,19,43
12,5,19,20,33
12,5,19,21,23
12,5,19,22,13
12,5,19,23,3
12,5,20,8,53
12,5,20,9,43
12,5,20,10,33
12,5,20,11,23
12,5,20,12,13
12,5,20,13,3
12,5,21,0,33
12,5,21,1,23
12,5,21,2,13
12,5,21,3,3
12,5,19,57,51
12,5,19,58,41
12,5,19,59,31
12,5,20,47,51
12,5,20,48,41
12,5,20,49,31
12,5,20,50,21
12,5,20,51,11
12,5,20,52,1
12,5,21,37,51
12,5,21,38,41
12,5,21,39,31
12,5,21,40,21
12,5,21,41,11
12,5,21,42,1
12,5,22,27,51
12,5,22,28,41
12,5,22,29,31
12,5,22,30,21
12,5,22,31,11
12,5,22,32,1
12,5,23,17,51
12,5,23,18,41
12,5,23,19,31
12,5,23,20,21
12,5,23,21,11
12,5,23,22,1
12,5,23,55,59
12,5,23,56,49
12,5,23,57,39
12,5,23,58,29
12,5,23,59,19
12,5,0,8,53
12,5,0,9,43
12,5,0,10,33
12,5,0,11,23
12,5,0,12,13
12,5,0,13,3
12,5,1,0,33
12,5,1,1,23
12,5,1,2,13
12,5,1,3,3
12,5,0,47,51
12,5,0,48,41
12,5,0,49,31
12,5,0,50,21
12,5,0,51,11
12,5,0,52,1
12,5,1,37,51
12,5,1,38,41
12,5,1,39,31
12,5,1,40,21
12,5,1,41,11
12,5,1,42,1
12,5,2,27,51
12,5,2,28,41
12,5,2,29,31
12,5,2,30,21
12,5,2,31,11
12,5,2,32,1
12,5,3,17,51
12,5,3,18,41
12,5,3,19,31
12,5,3,20,21
12,5,3,21,11
12,5,3,22,1
12,5,4,7,51
12,5,4,8,41
12,5,4,9,31
12,5,4,10,21
12,5,4,11,11
12,5,4,12,1
12,5,5,0,21
12,5,5,1,11
12,5,5,2,1
12,5,3,55,59
12,5,3,56,49
12,5,3,57,39
12,5,3,58,29
12,5,3,59,19
12,5,4,45,59
12,5,4,46,49
12,5,4,47,39
12,5,4,48,29
12,5,4,49,19
12,5,4,50,9
12,5,5,35,59
12,5,5,36,49
12,5,5,37,39
12,5,5,38,29
12,5,5,39,19
12,5,5,40,9
12,5,6,25,59
12,5,6,26,49
12,5,6,27,39
12,5,6,28,29
12,5,6,29,19
12,5,6,30,9
12,5,7,15,59
